,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Carrick-on-Shannon, Leitrim and Roscommon",3163,3163,3163,3163,3163,3163,3163,3163,3980,3980,3980,3980,3980,3980,3980
"Carrick-on-Suir Legal Town, South Tipperary",5856,5856,5856,5856,5856,5856,5856,5856,5886,5886,5886,5886,5886,5886,5886
"Carrick-on-Suir Environs, Waterford",50,50,50,50,50,50,50,50,45,45,45,45,45,45,45
"Carrigaline, Cork",12835,12835,12835,12835,12835,12835,12835,12835,14775,14775,14775,14775,14775,14775,14775
"Carrigallen, Leitrim",303,303,303,303,303,303,303,303,384,384,384,384,384,384,384
"Carrigans, Donegal",191,191,191,191,191,191,191,191,336,336,336,336,336,336,336
"Carrigkerry, Limerick",166,166,166,166,166,166,166,166,180,180,180,180,180,180,180
"Carrignavar, Cork",482,482,482,482,482,482,482,482,499,499,499,499,499,499,499
"Carrigtwohill, Cork",2782,2782,2782,2782,2782,2782,2782,2782,4551,4551,4551,4551,4551,4551,4551
"Carrowkeel, Donegal",331,331,331,331,331,331,331,331,388,388,388,388,388,388,388
"Cashel Legal Town, South Tipperary",2413,2413,2413,2413,2413,2413,2413,2413,2275,2275,2275,2275,2275,2275,2275
"Cashel Environs, South Tipperary",523,523,523,523,523,523,523,523,1776,1776,1776,1776,1776,1776,1776
"Castlebar Legal Town, Mayo",10655,10655,10655,10655,10655,10655,10655,10655,10826,10826,10826,10826,10826,10826,10826
"Castlebar Environs, Mayo",1236,1236,1236,1236,1236,1236,1236,1236,1492,1492,1492,1492,1492,1492,1492
"Castlebellingham/Kilsaran, Louth",816,816,816,816,816,816,816,816,1035,1035,1035,1035,1035,1035,1035
"Castleblayney Legal Town, Monaghan",1822,1822,1822,1822,1822,1822,1822,1822,1752,1752,1752,1752,1752,1752,1752
"Castleblayney Environs, Monaghan",1302,1302,1302,1302,1302,1302,1302,1302,1882,1882,1882,1882,1882,1882,1882
"Castlebridge, Wexford",1624,1624,1624,1624,1624,1624,1624,1624,1726,1726,1726,1726,1726,1726,1726
"Castlecomer-Donaguile, Kilkenny",1531,1531,1531,1531,1531,1531,1531,1531,1456,1456,1456,1456,1456,1456,1456
"Castleconnell, Limerick",1330,1330,1330,1330,1330,1330,1330,1330,1917,1917,1917,1917,1917,1917,1917
"Castledermot, Kildare",887,887,887,887,887,887,887,887,1398,1398,1398,1398,1398,1398,1398
"Castle Ellis, Wexford",173,173,173,173,173,173,173,173,293,293,293,293,293,293,293
"Castlefin, Donegal",810,810,810,810,810,810,810,810,787,787,787,787,787,787,787
"Castlegregory, Kerry",205,205,205,205,205,205,205,205,243,243,243,243,243,243,243
"Castleisland, Kerry",2300,2300,2300,2300,2300,2300,2300,2300,2513,2513,2513,2513,2513,2513,2513
"Castlelyons, Cork",203,203,203,203,203,203,203,203,292,292,292,292,292,292,292
"Castlemagner, Cork",246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
"Castlemaine, Kerry",187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
"Castlemartyr, Cork",978,978,978,978,978,978,978,978,1277,1277,1277,1277,1277,1277,1277
"Castlepollard, Westmeath",1004,1004,1004,1004,1004,1004,1004,1004,1042,1042,1042,1042,1042,1042,1042
"Castlerea, Roscommon",1873,1873,1873,1873,1873,1873,1873,1873,1985,1985,1985,1985,1985,1985,1985
"Castletown, Laois",314,314,314,314,314,314,314,314,418,418,418,418,418,418,418
"Castletown Geoghegan, Westmeath",150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
"Castletownbere, Cork",868,868,868,868,868,868,868,868,912,912,912,912,912,912,912
"Castletownroche, Cork",398,398,398,398,398,398,398,398,435,435,435,435,435,435,435
"Castletownsend, Cork",188,188,188,188,188,188,188,188,187,187,187,187,187,187,187
"Causeway, Kerry",211,211,211,211,211,211,211,211,264,264,264,264,264,264,264
"Cavan Legal Town, Cavan",3934,3934,3934,3934,3934,3934,3934,3934,3649,3649,3649,3649,3649,3649,3649
"Cavan Environs, Cavan",3949,3949,3949,3949,3949,3949,3949,3949,6556,6556,6556,6556,6556,6556,6556
"Celbridge, Kildare",17262,17262,17262,17262,17262,17262,17262,17262,19537,19537,19537,19537,19537,19537,19537
"Charlestown-Bellahy, Mayo and Sligo",859,859,859,859,859,859,859,859,914,914,914,914,914,914,914
"Cheekpoint, Waterford",313,313,313,313,313,313,313,313,334,334,334,334,334,334,334
"Churchbay, Cork",252,252,252,252,252,252,252,252,322,322,322,322,322,322,322
